"ShrubID" "Microsite" "Exclosure" "Gradient" "Watered" "Biomass" "Individuals" "Spp" "Percent" "Moisture1" "Moisture2" "Moisture5" "PAR1" "PAR2" "Volume" "BromusR" "Abd.nbrome" "Height" "Seeds" "Dom.Brome" "height.nbrome" "seed.nbrome" "Gradient2" "Lat" "Long" "RDM" "RDM.diff" "Canopy"
"11" 28 "Shrub" "N" 4 "Y" 3.9266 108 3 38 17.3 39.1 15.4 29.4 205 12.21 84 23 0.706662101 0.505844156 1 0.675555556 0.517857143 2.3 697279.9437 4062801.676 3.164548397 0.107465189 8
"12" 28 "Open" "N" 4 "Y" 1.0069 42 2 9 10.5 32.2 12.6 151.9 815 0 30 12 0.286594761 0.185714286 1 0 0.071428571 2.3 697279.9437 4062801.676 3.164548397 -0.51724202 0
"13" 30 "Shrub" "N" 1 "Y" 2.1396 96 4 27 8.3 26.7 7.3 92.21 204.9 21.58 79 18 0.560623977 0.506277056 1 0.441860465 0.482142857 3 697304.8397 4062827.005 3.105525494 -0.184156794 7
"14" 30 "Open" "N" 1 "Y" 1.3211 67 3 21 10.6 33.2 12.2 292.31 1545.8 0 47 20 0.254901399 0.194751082 1 0.215503876 0.183035714 3 697304.8397 4062827.005 3.105525494 -0.403111918 0
"15" 31 "Shrub" "N" 0 "N" 1.1987 71 3 23 9.7 9.7 8.4 9.49 55.07 32.2 60 12 0.536991781 0.396158009 1 0.39870801 0.316964286 0 697307.8978 4062837.843 3.462647915 -0.485685247 7
"16" 31 "Open" "N" 0 "N" 1.8452 68 2 19 11.7 23.2 5.1 124 788.4 0 50 18 0.359013867 0.072402597 1 0 0.035714286 0 697307.8978 4062837.843 3.462647915 -0.30472763 0
"17" 43 "Shrub" "N" 2 "Y" 3.1388 84 4 28 13.5 34.6 10.2 66.27 300.9 21.27 67 17 0.988888889 0.634145022 1 0.988888889 0.683035714 1.3 697224.9314 4062818.503 0.921904504 0.54593864 5
"18" 43 "Open" "N" 2 "Y" 2.0243 72 2 20 9.9 34 12.7 134.1 1355.2 0 61 11 0.399417908 0.510714286 1 0.444444444 0.321428571 1.3 697224.9314 4062818.503 0.921904504 0.374174805 0
"19" 46 "Shrub" "Y" 3 "Y" 8.0452 230 3 55 8 23.1 6.2 31.75 195.26 15.75 221 9 0.671315874 0.454534224 1 0.610209558 0.349983154 1.8 697221.1304 4062801.097 0.740228593 0.831487198 6
"20" 46 "Open" "Y" 3 "Y" 0.9289 68 3 16 5.4 24.4 10.5 181.09 1011.9 0 51 17 0.302462133 0.365118843 1 0.315018315 0.30222372 1.8 697221.1304 4062801.097 0.740228593 0.113035872 0
"21" 47 "Shrub" "N" 0 "N" 0.9485 84 2 18 6.8 11.3 6.6 39.41 214.3 10.57 69 15 0.614980312 0.518100649 1 0.644444444 0.508928571 0 697249.4634 4062805.303 1.843935013 -0.320664584 8
"22" 47 "Open" "N" 0 "N" 1.1457 78 2 18 13.6 19.4 9 350.8 1698.9 0 66 12 0.335713063 0.298376623 1 0.355555556 0.178571429 0 697249.4634 4062805.303 1.843935013 -0.233551925 0
"23" 48 "Shrub" "N" 4 "Y" 2.0672 75 2 18 10.8 28 9 38.5 197 15.2 68 8 0.569354563 0.386298701 1 0.422222222 0.107142857 2.3 697251.6849 4062790.367 2.048469782 0.004550953 6
"24" 48 "Open" "N" 4 "Y" 1.1204 88 4 25 9.5 37 10.3 159.4 335 0 66 22 0.388978642 0.353476732 1 0.410779946 0.356150794 2.3 697251.6849 4062790.367 2.048469782 -0.292870912 0
"25" 50 "Shrub" "N" 2 "Y" 4.1717 115 1 45 6.4 19.4 6.9 51.7 128.44 22.89 115 0 0.600924499 0.581818182 1 0 0 1.3 697244.2864 4062785.535 1.92624414 0.368231622 5
"26" 50 "Open" "N" 2 "Y" 2.4982 98 3 16 11.4 33 9.4 202 652.6 0 78 20 0.5126469 0.374404762 1 0.557105943 0.361607143 1.3 697244.2864 4062785.535 1.92624414 0.129271801 0
"27" 65 "Shrub" "N" 0 "Y" 1.1515 42 3 11 7.6 25.6 2.8 13.86 33.29 19.7 25 17 0.536144198 0.732820137 1 0.532259441 0.881048387 1.3 697302.259 4062896.327 3.91206789 -0.54518236 7
"28" 65 "Open" "N" 0 "Y" 1.0644 53 2 15 9 32.6 7.6 239.6 965.3 0 41 12 0.429892142 0.163311688 1 0 0.035714286 1.3 697302.259 4062896.327 3.91206789 -0.572226718 0
"29" 72 "Shrub" "N" 4 "Y" 1.865 58 3 12 5.8 13.2 9.5 115.7 570.3 14.24 51 7 0.27492266 0.346266234 1 0.212403101 0.410714286 2.3 697254.2438 4062954.832 2.497478008 -0.144981363 7
"30" 72 "Open" "N" 4 "Y" 2.3707 56 2 10 8.8 34.7 10 231.6 915.2 0 36 20 0.394453005 0.352272727 1 0 0.25 2.3 697254.2438 4062954.832 2.497478008 -0.026042188 0
"31" 73 "Shrub" "N" 0 "Y" 3.236 42 1 11 12.4 19.9 3.8 16.26 109.84 17.94 42 0 0.625577812 0.381818182 1 0 0 2.3 697272.3853 4062947.369 1.396285653 0.397150453 7
"32" 73 "Open" "N" 0 "Y" 1.5735 28 2 7 12.8 17.1 11 249.9 1061.1 0 22 6 0.283513097 0.23474026 1 0 0.178571429 2.3 697272.3853 4062947.369 1.396285653 0.059672437 0
"33" 75 "Shrub" "N" 1 "Y" 2.4009 77 2 14 11.7 30 7.4 42.3 217.8 34.59 68 9 0.685079012 0.731818182 1 0.558139535 1 3 697287.9606 4062954.277 1.458872914 0.244062826 8
"34" 75 "Open" "N" 1 "Y" 0.737 64 2 11 6.4 36.7 8.8 227 883.3 0 53 11 0.362095532 0.172077922 1 0 0.071428571 3 697287.9606 4062954.277 1.458872914 -0.328740753 0
"35" 76 "Shrub" "N" 3 "Y" 7.4186 185 1 42 13.2 32.4 5.4 18.19 111.4 9.65 185 0 0.802773498 0.609090909 1 0 0 1.8 697258.7903 4062967.037 1.76390028 0.615812638 8
"36" 76 "Open" "N" 3 "Y" 1.1516 52 3 17 11.4 32.8 9.2 252.1 1276 0 30 22 0.47904349 0.266883117 1 0.449612403 0.232142857 1.8 697258.7903 4062967.037 1.76390028 -0.210015511 0
"37" 78 "Shrub" "Y" 2 "Y" 11.0977 160 2 42 7 38 14.2 50.82 228.6 27.46 147 13 0.654391371 0.672402597 1 0.6 0.535714286 1.3 697201.3398 4063043.199 11.80771065 -0.030997508 5
"38" 78 "Open" "Y" 2 "Y" 5.9896 110 3 40 9.9 31.2 13.6 213.3 860.9 0 61 50 0.572011801 0.33982684 1 0.588372093 0.214285714 1.3 697201.3398 4063043.199 11.80771065 -0.326909541 0
"39" 82 "Shrub" "N" 5 "Y" 3.3214 92 4 26 6.3 27.6 8.6 47.36 229.98 30.95 77 15 0.731860137 0.777272727 1 0.721576227 0.875 2.8 697231.6607 4062945.542 4.336822033 -0.132592399 6
"40" 82 "Open" "N" 5 "Y" 1.7083 96 3 25 9.6 27.6 7.6 276.8 1130 0 21 75 0.363213471 0.436616162 0 0.367624521 0.395833333 2.8 697231.6607 4062945.542 4.336822033 -0.434817034 0
"41" 91 "Shrub" "N" 5 "Y" 4.0958 226 3 38 13.8 35 6.2 18.83 57.03 20.22 199 27 0.76468827 0.654143974 1 0.731007752 0.726670507 2.8 697254.0757 4063125.118 9.817329407 -0.411232386 8
"42" 91 "Open" "N" 5 "Y" 3.9622 210 1 44 16.2 33.8 9.3 173.27 712.9 0 210 0 0.793528505 0.436363636 1 0 0 2.8 697254.0757 4063125.118 9.817329407 -0.424915049 0
"43" 96 "Shrub" "N" 0 "Y" 2.62908 180 3 36 7.6 23.4 7 50.82 228.6 6.59 153 27 0.65 0.65 1 0 0 2.8 697195.8899 4063136.211 5.096074104 -0.319345617 0
"44" 96 "Open" "N" 0 "Y" 1.70104 174 1 40 9 26.4 9.6 213.3 860.9 0 139 34 0.58 0.48 1 0 0 2.8 697195.8899 4063136.211 5.096074104 -0.499481699 0
"45" 97 "Shrub" "N" 1 "Y" 2.883 186 2 21 18 34.8 8.5 13.46 56.07 10.46 180 6 0.559214534 0.36875 1 0.465116279 0.4375 3 697188.9229 4063139.824 4.522604465 -0.221400491 7
"46" 97 "Open" "N" 1 "Y" 2.4347 56 2 14 14.5 31.6 13 197.57 928.7 0 46 10 0.479750043 0.285714286 1 0.395555556 0.071428571 3 697188.9229 4063139.824 4.522604465 -0.3001025 0
"47" 103 "Shrub" "N" 2 "Y" 0.6431 36 3 9 11.3 19.6 5.2 67.08 214.9 22.51 35 2 0.491422702 0.388961039 1 0.466666667 0.214285714 1.3 697135.1441 4063118.715 5.287973404 -0.783142121 5
"48" 103 "Open" "N" 2 "Y" 2.2156 68 2 25 7.1 20.1 10.2 129.36 520.8 0 41 27 0.349340866 0.369480519 1 0.444444444 0.357142857 1.3 697135.1441 4063118.715 5.287973404 -0.409454701 0
"49" 104 "Shrub" "N" 0 "N" 1.3441 72 2 21 12.2 12.4 11.8 48.82 484.7 8.57 54 18 0.615562404 0.369480519 1 1 0.357142857 0 697130.4851 4063115.277 7.225037098 -0.686292801 6
"50" 104 "Open" "N" 0 "N" 0.871 62 2 15 15.6 18.6 13 470.4 1927 0 40 22 0.384454717 0.293506494 1 0.422222222 0.214285714 0 697130.4851 4063115.277 7.225037098 -0.784833002 0
"51" 114 "Shrub" "Y" 5 "Y" 1.4972 58 2 14 8.4 34.4 13.9 16.14 92.15 12.07 36 22 0.624781118 0.531493506 1 0.491472868 0.535714286 2.8 697181.3242 4063205.811 5.362333775 -0.563468874 6
"52" 114 "Open" "Y" 5 "Y" 1.4103 70 3 17 9.6 41.4 7 249.4 1159.2 0 57 13 0.577106102 0.477353896 1 0.640697674 0.491071429 2.8 697181.3242 4063205.811 5.362333775 -0.583529821 0
"53" 118 "Shrub" "Y" 1 "Y" 3.8236 185 1 34 7.6 30 9.4 58.17 479.3 19.08 185 0 0.81201849 0.645454545 1 0 0 3 697161.442 4063226.778 5.288175583 -0.160734378 5
"54" 118 "Open" "Y" 1 "Y" 1.4169 76 1 9 13.2 35 11.9 253.7 1030.4 0 76 0 0.406779661 0.436363636 1 0 0 3 697161.442 4063226.778 5.288175583 -0.577364943 0
"55" 120 "Shrub" "N" 3 "Y" 1.3491 118 2 16 5.3 21.5 6.7 18.91 93.05 8.96 107 11 0.562951948 0.536525974 1 0.427906977 0.482142857 1.8 697164.2993 4063195.872 4.132212162 -0.507745605 7
"56" 120 "Open" "N" 3 "Y" 1.1667 38 2 11 9.1 28.9 9.8 257.7 1255.9 0 17 21 0.260400616 0.176948052 0 0 0.035714286 1.8 697164.2993 4063195.872 4.132212162 -0.559645465 0
"57" 121 "Shrub" "N" 0 "N" 1.958 86 3 15 11.2 24.8 5.3 15.44 85.38 12.86 65 21 0.562064715 0.325649351 1 0.44 0.178571429 0 697162.0938 4063186.83 3.498012304 -0.282259683 5
"58" 121 "Open" "N" 0 "N" 1.0256 44 2 7 10.1 19.6 8.4 248.5 1139.3 0 5 39 0.306543223 0.575757576 0 0.244827586 0.833333333 0 697162.0938 4063186.83 3.498012304 -0.546557074 0
"59" 123 "Shrub" "N" 3 "Y" 0.4535 32 3 6 7.7 26.6 10 256.3 773 19.34 5 27 0.320906169 0.427462121 0 0.239655172 0.645833333 1.8 697144.2846 4063207.067 4.666087151 -0.822837277 7
"60" 123 "Open" "N" 3 "Y" 0.6466 104 4 12 8.6 29.5 10.2 257.7 1130.3 0 8 95 0.298431205 0.170909993 0 0.282777778 0.129092262 1.8 697144.2846 4063207.067 4.666087151 -0.756582693 0
"61" 125 "Shrub" "N" 2 "Y" 0.4511 40 3 18 7 24.5 4.5 91.96 449 8.94 7 32 0.343944264 0.468371212 0 0.267241379 0.645833333 1.3 697129.654 4063213.502 3.881361723 -0.791758114 6
"62" 125 "Open" "N" 2 "Y" 0.8783 84 3 12 8 24 10.8 237 1455.7 0 25 59 0.320603109 0.312968975 0 0.283678161 0.34672619 1.3 697129.654 4063213.502 3.881361723 -0.630940159 0
"63" 129 "Shrub" "N" 3 "Y" 1.6686 38 1 10 7.2 26.2 6.3 121.8 198.78 21.65 0 38 0.292758089 0.354545455 0 0 0 1.8 697115.659 4063223.392 2.459992886 -0.191685862 7
"64" 129 "Open" "N" 3 "Y" 0.844 98 4 13 8.4 27.8 8 227.8 997.2 0 8 91 0.48435288 0.475757576 0 0.548563218 0.583333333 1.8 697115.659 4063223.392 2.459992886 -0.489103016 0
"65" 130 "Shrub" "Y" 0 "N" 2.818 42 2 14 10.8 11.4 4.5 25.7 387.5 18.27 38 4 0.49124465 0.252597403 1 0.475555556 0.214285714 0 697113.4762 4063236.663 1.433830023 0.325546875 5
"66" 130 "Open" "Y" 0 "N" 0.9301 58 3 7 8.1 14.9 7.2 294.6 1414.6 0 5 53 0.272773763 0.316323954 0 0.232758621 0.319940476 0 697113.4762 4063236.663 1.433830023 -0.213090074 0
"67" 134 "Shrub" "Y" 3 "Y" 0.2067 22 2 5 7 19.8 7.3 42.08 375.1 9.89 8 14 0.325949737 0.442992424 0 0.262068966 0.604166667 1.8 697090.7452 4063264.891 0.61738348 -0.498351793 5
"68" 134 "Open" "Y" 3 "Y" 0.5779 104 3 16 11.4 28 10.6 187.31 1210 0 15 89 0.30045428 0.449431818 0 0.217241379 0.5625 1.8 697090.7452 4063264.891 0.61738348 -0.033032733 0
"69" 135 "Shrub" "Y" 0 "N" 0.447 46 1 9 5.8 8.9 4.7 52.3 532.4 8.1 0 46 0.226502311 0.272727273 0 0 0 0 697087.5312 4063256.936 0.845255911 -0.308186566 6
"70" 135 "Open" "Y" 0 "N" 0.6128 66 3 10 7.6 19.2 6.9 255.1 1688.2 0 5 61 0.304323628 0.435227273 0 0.246551724 0.625 0 697087.5312 4063256.936 0.845255911 -0.159428668 0
"71" 142 "Shrub" "Y" 1 "Y" 1.8642 78 3 18 11.8 27.4 9 49.8 221.7 19.1 12 67 0.363389791 0.714015152 0 0.318582375 0.791666667 3 697056.0267 4063227.459 0.266633958 0.749737462 5
"72" 142 "Open" "Y" 1 "Y" 0.6398 68 1 18 8.8 20 6.7 242.3 1229.4 0 0 68 0.206896552 0.666666667 0 0.206896552 0.666666667 3 697056.0267 4063227.459 0.266633958 0.411685859 0
"73" 148 "Shrub" "Y" 4 "Y" 0.116 22 2 9 8.1 23.6 5.1 170 304 11.16 14 8 0.385893417 0.556628788 1 0.317241379 0.604166667 2.3 697074.5555 4063210.901 0.45735538 -0.595364397 5
"74" 148 "Open" "Y" 4 "Y" 0.3956 65 2 13 6 24.6 10.8 160.9 189.9 0 0 65 0.234961686 0.264880952 0 0.234961686 0.264880952 2.3 697074.5555 4063210.901 0.45735538 -0.072401654 0
"75" 149 "Shrub" "N" 5 "Y" 0.6574 74 3 16 9 29.8 11 96.97 410.9 19.59 56 17 0.319362532 0.458369408 1 0.278735632 0.351190476 2.8 697079.9471 4063217.464 0.348199219 0.307479139 6
"76" 149 "Open" "N" 5 "Y" 0.5984 75 2 14 13 26.4 10.4 286.2 989.8 0 0 75 0.282088123 0.30952381 0 0.282088123 0.30952381 2.8 697079.9471 4063217.464 0.348199219 0.264315432 0
"77" 152 "Shrub" "N" 3 "Y" 0.2889 56 2 10 10.8 28.2 9 213.4 1549 22.49 18 38 0.23918761 0.737310606 0 0.224137931 0.729166667 1.8 697090.6054 4063208.828 0.236975372 0.098739418 5
"78" 152 "Open" "N" 3 "Y" 1.0004 84 3 28 12 29.2 11 390.2 1627.2 0 3 81 0.334832152 0.096387987 0 0.386685824 0.110491071 1.8 697090.6054 4063208.828 0.236975372 0.616970925 0
"79" 156 "Shrub" "N" 0 "Y" 1.6203 82 2 21 11.8 27.6 10.4 392.7 1625.2 18.89 70 12 0.756017805 0.42012987 1 0.911111111 0.285714286 1.8 697130.52 4063172.004 1.530469298 0.02851072 5
"80" 156 "Open" "N" 0 "Y" 0.258 95 3 20 9.9 27.5 8.6 400.8 1823.3 0 10 86 0.31059081 0.34294733 0 0.325670498 0.373511905 1.8 697130.52 4063172.004 1.530469298 -0.711485123 0
"81" 160 "Shrub" "N" 3 "Y" 0.3282 34 2 8 7.8 20.9 6.2 230.8 1020.6 13.34 17 17 0.323085915 0.434659091 0 0.324137931 0.6875 1.8 697070.9656 4063277.535 2.209931135 -0.741384521 5
"82" 160 "Open" "N" 3 "Y" 1.2777 92 3 15 11.2 33.8 9.6 237.8 1162.6 0 60 32 0.196213007 0.265674603 1 0.125862069 0.248511905 1.8 697070.9656 4063277.535 2.209931135 -0.267296368 0
"83" 164 "Shrub" "Y" 3 "Y" 4.8781 101 1 22 9.8 35.2 4.4 162.15 406.1 21.78 101 0 0.781201849 0.545454545 1 0 0 1.8 697051.6022 4063291.521 3.047639847 0.230951329 6
"84" 164 "Open" "Y" 3 "Y" 3.5625 142 1 32 10.6 30.2 8.4 246.1 1083 0 142 0 0.764252696 0.4 1 0.239770115 0.321428571 1.8 697051.6022 4063291.521 3.047639847 0.077889449 0
"85" 165 "Shrub" "N" 1 "Y" 4.8802 122 1 26 7.2 29 5.8 165.12 631.7 30.28 122 0 0.657935285 0.418181818 1 0 0 3 697049.7335 4063283.374 3.304659843 0.192494458 5
"86" 165 "Open" "N" 1 "Y" 1.2489 112 4 21 6.8 25.4 9.4 294.6 1702.9 0 78 33 0.337206409 0.231114719 1 0 0 3 697049.7335 4063283.374 3.304659843 -0.451462134 0
"87" 168 "Shrub" "N" 2 "Y" 3.508 104 1 34 7.3 17.4 6.6 250 1404.3 13.94 104 0 0.653312789 0.6 1 0 0 1.3 697051.1199 4063261.981 2.137363911 0.242789679 7
"88" 168 "Open" "N" 2 "Y" 0.5359 98 3 22 7.8 23.2 8.2 232.7 1131 0 0 96 0.224137931 0.187380952 0 0.259276486 0.183035714 1.3 697051.1199 4063261.981 2.137363911 -0.599066895 0
"89" 169 "Shrub" "Y" 0 "Y" 2.9451 62 2 22 12.2 14 5.6 214.8 604.1 20.61 34 28 0.44242867 0.468371212 1 0 0 1.3 697042.1313 4063264.105 2.208999872 0.142818367 7
"90" 169 "Open" "Y" 0 "Y" 0.3825 85 3 17 9.4 14 9 300.6 1339.7 0 0 85 0.220689655 0.458333333 0 0.224137931 0.327380952 1.3 697042.1313 4063264.105 2.208999872 -0.704804153 0
"91" 172 "Shrub" "N" 2 "Y" 5.487 105 1 29 12.9 20.6 6.2 11.89 89.7 15.99 105 0 0.502311248 0.445454545 1 0.279310345 0.645833333 1.3 697042.0877 4063297.074 2.352355719 0.399859937 5
"92" 172 "Open" "N" 2 "Y" 2.6732 88 2 3 9 30.8 7.2 268.2 985.7 0 77 11 0.545454545 0.276948052 1 0.220689655 0.458333333 1.3 697042.0877 4063297.074 2.352355719 0.063842548 0
"93" 183 "Shrub" "N" 3 "Y" 0.6936 71 2 18 11.5 27.4 6.2 141.19 580.7 18.94 0 71 0.588295019 0.75 0 0 0 1.8 696983.9314 4063244.782 0 1 5
"94" 183 "Open" "N" 3 "Y" 0.264 76 2 12 10.5 27.2 11.5 318.2 1189.4 0 0 76 0.25105364 0.241071429 0 0 0.035714286 1.8 696983.9314 4063244.782 0 1 0
"95" 184 "Shrub" "N" 0 "N" 0.4312 55 1 6 7.6 12.1 7.1 248.8 844.1 15.71 0 55 0.210689655 0.625 0 0.588295019 0.75 0 696996.7978 4063252.849 0 1 5
"96" 184 "Open" "N" 0 "N" 0.4247 60 2 10 8.3 18.7 9.6 440.4 1867.2 0 0 60 0.137931034 0.520833333 0 0.25105364 0.241071429 0 696996.7978 4063252.849 0 1 0
"97" 188 "Shrub" "N" 3 "Y" 0.3479 64 2 18 8.1 23.9 7.6 133.48 674.3 20.98 0 64 0.631034483 0.604166667 0 0.210689655 0.625 1.8 697026.9189 4063253.098 1.056274295 -0.504477469 7
"98" 188 "Open" "N" 3 "Y" 0.7853 102 1 21 7.9 25.8 9.4 185.7 840 0 0 102 0.163793103 0.666666667 0 0.137931034 0.520833333 1.8 697026.9189 4063253.098 1.056274295 -0.147142744 0
"99" 190 "Shrub" "N" 1 "Y" 0.6077 52 2 9 7.4 21.2 7.6 67.18 188.8 26.72 0 52 0.294033261 0.473674242 0 0.631034483 0.604166667 3 697018.1881 4063244.016 0.140805393 0.623769195 7
"100" 190 "Open" "N" 1 "Y" 0.1762 88 2 8 7.1 20.2 9.4 408 1671 0 0 88 0.172413793 0.275297619 0 0.163793103 0.666666667 3 697018.1881 4063244.016 0.140805393 0.111653011 0
"101" 192 "Shrub" "N" 3 "Y" 1.2643 108 1 22 5.2 17.2 10 49.8 221.7 9.34 0 108 0.363793103 0.875 0 0.24137931 0.729166667 1.8 697022.454 4063233.457 0 1 5
"102" 192 "Open" "N" 3 "Y" 0.3513 84 2 9 10.6 27.4 12.3 242.3 1229.4 0 0 84 0.261302682 0.382440476 0 0.172413793 0.275297619 1.8 697022.454 4063233.457 0 1 0
"103" 195 "Shrub" "N" 0 "N" 0.1341 35 1 7 7.6 12.9 5 178.05 179.34 8.55 0 35 0.855555556 0.5625 0 0.363793103 0.875 0 697024.7695 4063226.073 0 1 3
"104" 195 "Open" "N" 0 "N" 0.5103 78 2 14 9 16 10.2 431.8 1191.32 0 0 78 0.322318008 0.125 0 0.261302682 0.382440476 0 697024.7695 4063226.073 0 1 0
"105" 203 "Shrub" "N" 5 "Y" 3.7703 32 1 11 15 28 9.2 33.82 332.9 21.72 115 10 0.816640986 0.754545455 1 0.855555556 0.5625 2.8 696991.6997 4063330.66 2.61695075 0.180570529 6
"106" 203 "Open" "N" 5 "Y" 1.2112 108 3 16 10.4 21.3 9.6 273.5 1010.1 0 89 20 0.392359342 0.375342713 1 0.322318008 0.125 2.8 696991.6997 4063330.66 2.61695075 -0.367214052 0
"107" 204 "Shrub" "N" 5 "Y" 4.0484 112 2 19 15 25.7 6.6 95.32 261.5 9.88 108 4 0.590138675 0.509090909 1 0 0 2.8 696978.8028 4063335.581 1.875937581 0.366701321 5
"108" 204 "Open" "N" 5 "Y" 2.2187 84 3 14 10.4 29.8 8.8 286.4 1576.4 0 59 25 0.338945386 0.422922078 1 0.307337165 0.367559524 2.8 696978.8028 4063335.581 1.875937581 0.083710075 0
"109" 205 "Shrub" "N" 0 "Y" 1.7675 54 1 9 5.2 14.8 4.3 88.6 268.8 15.57 54 0 0.531587057 0.418181818 1 0 0 2.8 696978.7288 4063311.601 1.780709028 -0.003722731 5
"110" 205 "Open" "N" 0 "Y" 1.7988 92 3 10 10.4 19.5 7 265 1422.2 0 11 81 0.243297381 0.295941558 0 0.271111111 0.178571429 2.8 696978.7288 4063311.601 1.780709028 0.005054037 0
"111" 206 "Shrub" "Y" 5 "Y" 1.4921 68 2 19 5.9 16.4 4.6 16.29 80.32 13.37 62 6 0.566153056 0.361363636 1 0 0 2.8 696970.8048 4063310.198 3.024647474 -0.339303333 5
"112" 206 "Open" "Y" 5 "Y" 1.467 105 2 17 13.9 29.2 5.8 249.3 1207.8 0 86 19 0.453110769 0.298376623 1 0.2 0.334821429 2.8 696970.8048 4063310.198 3.024647474 -0.346787561 0
"113" 207 "Shrub" "N" 3 "Y" 3.7224 114 1 28 7.8 24.6 5.4 117.34 749.6 15.68 114 0 0.745762712 0.736363636 1 0.466666667 0.25 1.8 696965.5383 4063317.625 3.538118362 0.025381333 5
"114" 207 "Open" "N" 3 "Y" 0.8367 71 3 16 11.8 23.3 7.9 225.2 1007.8 0 46 25 0.318955107 0.392316017 1 0.417777778 0.178571429 1.8 696965.5383 4063317.625 3.538118362 -0.617492691 0
"115" 210 "Shrub" "N" 4 "Y" 4.6112 48 2 14 9.2 25.8 12.3 53.36 239.4 31.16 44 4 0.696574217 0.574837662 1 0 0 2.3 696962.6868 4063332.768 3.618396997 0.120638107 6
"116" 210 "Open" "N" 4 "Y" 0.7738 84 4 14 11.9 37.4 7.5 315.4 1442.6 0 25 59 0.304572729 0.354635642 0 0.26348659 0.383928571 2.3 696962.6868 4063332.768 3.618396997 -0.647647863 0
"117" 216 "Shrub" "N" 2 "Y" 0.9165 88 3 21 12.4 18.9 8 24.17 111.69 11.66 76 13 0.39842429 0.345725108 1 0.513333333 0.267857143 1.3 696948.0311 4063344.198 1.076392651 -0.080231442 7
"118" 216 "Open" "N" 2 "Y" 1.5359 75 4 14 15.2 34 14.2 284.8 1163.3 0 39 36 0.273357939 0.261417749 1 0.317413793 0.40922619 1.3 696948.0311 4063344.198 1.076392651 0.175901942 0
"119" 219 "Shrub" "N" 2 "Y" 2.3761 74 2 13 9.6 32.2 2.4 325.5 1642.4 11.19 73 1 0.530279141 0.590097403 1 0.366511628 0.227678571 1.3 696917.1673 4063325.726 0.065944113 0.945992693 6
"120" 219 "Open" "N" 2 "Y" 0.8381 72 3 12 11.2 31.3 8.8 313.7 142.1 0 18 54 0.404504877 0.510209235 0 0.204651163 0.183035714 1.3 696917.1673 4063325.726 0.065944113 0.854113064 0
"121" 220 "Shrub" "Y" 2 "Y" 0.7812 68 1 19 8.6 27.4 4 35.52 195.27 12.63 68 0 0.661016949 0.545454545 1 0.325581395 0.589285714 1.3 696916.833 4063336.375 0.065238766 0.845851185 6
