"ShrubID" "Microsite" "Exclosure" "Gradient" "Watered" "Biomass" "Individuals" "Spp" "Percent" "Moisture1" "Moisture2" "Moisture5" "PAR1" "PAR2" "Volume" "BromusR" "Abd.nbrome" "Height" "Seeds" "Dom.Brome" "height.nbrome" "seed.nbrome" "Gradient2" "Lat" "Long" "RDM" "RDM.diff" "Canopy"
"1" 17 "Shrub" "Y" 0 "N" 1.8573 65 2 16 5.1 12.9 12.4 288.1 1187.9 50.02 62 3 0.555726759 0.176298701 1 0.333333333 0.107142857 0 697231.4835 4062770.808 1.413708448 0.135613086 4.5
"2" 17 "Open" "Y" 0 "N" 0.3016 72 2 14 8.8 22 11.8 442.3 1722.1 0 58 14 0.415271358 0.152337662 1 0.422222222 0.142857143 0 697231.4835 4062770.808 1.413708448 -0.64834313 0
"3" 18 "Shrub" "Y" 2 "Y" 1.741 74 2 31 11.2 15.6 5.8 40.4 173.7 19.78 70 4 0.645351823 0.414285714 1 0.666666667 0.428571429 1.3 697232.4282 4062764.724 1.829805732 -0.024869942 5
"4" 18 "Open" "Y" 2 "Y" 0.1389 52 3 9 13.2 23.9 7 295 1189.5 0 13 39 0.354391371 0.254220779 0 0 0.276785714 1.3 697232.4282 4062764.724 1.829805732 -0.858892065 0
"5" 22 "Shrub" "Y" 4 "Y" 0.5853 38 3 8 9.8 33.7 6.2 49.15 97.27 12.05 6 33 0.333871837 0.376406926 0 0.29664751 0.446428571 2.3 697256.5415 4062657.156 0.654188752 -0.05557836 9
"6" 22 "Open" "Y" 4 "Y" 0.5185 76 2 22 6 30.8 9.4 127.4 614.8 0 0 76 0.308429119 0.385416667 0 0.308429119 0.385416667 2.3 697256.5415 4062657.156 0.654188752 -0.115707388 0
"7" 24 "Shrub" "Y" 5 "Y" 2.0967 62 2 25 5.1 36.4 4.8 77.87 360.3 17.16 47 15 0.663420966 0.459469697 1 0.710077519 0.59375 2.8 697273.7192 4062621.696 0.334020495 0.7251675 5
"8" 24 "Open" "Y" 5 "Y" 0.7289 82 4 20 8.8 27.6 10 170.95 681 0 21 62 0.356713836 0.462554113 0 0.354022989 0.589285714 2.8 697273.7192 4062621.696 0.334020495 0.371504272 0
"9" 25 "Shrub" "N" 5 "Y" 2.1343 32 2 7 6 30.2 7.6 50.9 245 19.24 31 1 0.703697997 0.772727273 1 0.6 0 2.8 697274.4857 4062790.227 2.833235979 -0.140700738 8
"10" 25 "Open" "N" 5 "Y" 0.6955 15 2 3 10.2 22.6 12.8 91.36 818.5 0 8 8 0.315062489 0.13961039 0 0.271111111 0.142857143 2.8 697274.4857 4062790.227 2.833235979 -0.605807856 0
